title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
1CD,Nanaimo,-123.872001647949,49.057201385498, small,#ff0000,#000000,0
1T,Lloydminster,-110.080001831054,53.3133010864257, small,#ff0000,#000000,0
2F,Bathurst,-65.744400024414,47.63140106201169, small,#ff0000,#000000,0
2K,Camrose,-112.814002990722,53.03279876708977, small,#ff0000,#000000,0
2Z,Diavik,-110.306999206542,64.50830078125001, small,#ff0000,#000000,0
6G,Red Deer,-113.883003234863,52.18119812011712, small,#ff0000,#000000,0
8J,Provost,-110.273002624511,52.33359909057611, small,#ff0000,#000000,0
9S,Powell River Bc,-124.499000549316,49.83560180664058, small,#ff0000,#000000,0
AGD,Altenburg,12.51229953765859,50.98270034790029, small,#ff0000,#000000,0
ALF,Alster,9.99413967132567,53.6352996826171, small,#ff0000,#000000,0
ANE,Arlanda,18.05990028381338,59.69400024414061, small,#ff0000,#000000,0
ANT,Antalya,30.78919982910149,36.8755989074707, small,#ff0000,#000000,0
ANW,Arlanda,17.85260009765621,59.7132987976074, small,#ff0000,#000000,0
AS,Aasiaat,-52.79280090332029,68.71939849853509, small,#ff0000,#000000,0
ASW,Arlanda,17.81970024108882,59.58769989013668, small,#ff0000,#000000,0
AUG,Augsburg,10.93299961090081,48.42430114746089, small,#ff0000,#000000,0
BAY,Bayreuth,11.63809967041011,49.9856986999511, small,#ff0000,#000000,0
BCL,Benbecula,-7.370319843292233,57.47510147094719, small,#ff0000,#000000,0
BHD,Barth,12.70979976654048,54.3404006958007, small,#ff0000,#000000,0
BLC,Blackbushe,-0.846377015113835,51.32389831542962, small,#ff0000,#000000,0
BV,La Palma,-17.7565994262695,28.6016006469726, small,#ff0000,#000000,0
CDD,Drewitz,14.53199958801259,51.8870010375976, small,#ff0000,#000000,0
CVA,Corvatsch,9.821669578552235,46.418098449707, small,#ff0000,#000000,0
CZF,Cape Romanzof,-166.039001464843,61.7803001403808, small,#ff0000,#000000,0
DKK,Dunkirk,-79.27410300000001,42.49039999999999, small,#ff0000,#000000,0
DMN,Munchen,11.79399967193599,48.36690139770499, small,#ff0000,#000000,0
DMS,Munchen,11.77820014953609,48.34069824218749, small,#ff0000,#000000,0
DND,Dresden,13.75759983062741,51.1295013427734, small,#ff0000,#000000,0
DON,Donaueschingen,8.522549629211419,47.96070098876952, small,#ff0000,#000000,0
EFD,Erfurt,10.95769977569579,50.98260116577138, small,#ff0000,#000000,0
EKN,Enniskillen,-7.653610229492194,54.3986015319824, small,#ff0000,#000000,0
END,Eggenfelden,12.7253999710083,48.39440155029291, small,#ff0000,#000000,0
ENW,Emden,7.229139804840101,53.38909912109369, small,#ff0000,#000000,0
F9,Miramichi,-65.4669036865234,47.00939941406251, small,#ff0000,#000000,0
FHD,Friedrichshafen,9.508859634399403,47.66640090942382, small,#ff0000,#000000,0
FRD,Frankfurt,8.567049980163578,50.03049850463863, small,#ff0000,#000000,0
FRK,Fairoaks,-0.5654289722442707,51.3474006652832, small,#ff0000,#000000,0
FRT,Haastrecht,4.769130229949932,52.00429916381832, small,#ff0000,#000000,0
FRT,Lelystad,5.507719993591293,52.4500007629394, small,#ff0000,#000000,0
GCO,Chicago O'Hare,-87.902,41.99400000000001, small,#ff0000,#000000,0
GN,Godthaab,-51.67829895019531,64.1875991821289, small,#ff0000,#000000,0
GOS,Gloucestershire,-2.167929887771611,51.89220046997069, small,#ff0000,#000000,0
GX,Gillam,-94.70390319824212,56.35749816894532, small,#ff0000,#000000,0
HAD,Hannover,9.694809913635236,52.4687995910644, small,#ff0000,#000000,0
HBD,Hannover,9.65937042236327,52.45529937744139, small,#ff0000,#000000,0
HC,Taipei/Sungshan,121.632003784179,25.0652999877929, small,#ff0000,#000000,0
HDW,Haverfordwest,-4.970119953155514,51.8320007324218, small,#ff0000,#000000,0
HL,Helgafell,-20.27219963073731,63.42029953002931, small,#ff0000,#000000,0
HND,Hahn,7.267670154571522,49.94559860229487, small,#ff0000,#000000,0
HOD,Hof,11.85519981384268,50.2897987365722, small,#ff0000,#000000,0
HR,Hierro,-17.88640022277829,27.81609916687009, small,#ff0000,#000000,0
I6R,Bromont,-72.7332000732421,45.29779815673821, small,#ff0000,#000000,0
IBL,Campbell River,-125.276000976562,49.95249938964842, small,#ff0000,#000000,0
IBX,Lourdes-De-Blanc-Sablon,-57.18159866332999,51.44919967651361, small,#ff0000,#000000,0
ID,Dublin,-6.270520210266113,53.42010116577141, small,#ff0000,#000000,0
IDC,Fredericton,-66.5477981567382,45.8630981445312, small,#ff0000,#000000,0
IEV,Inuvik,-133.453002929687,68.30280303955071, small,#ff0000,#000000,0
IFB,Iqualuit,-68.5441970825195,63.75000000000001, small,#ff0000,#000000,0
IGV,Havre St Pierre,-63.5960998535156,50.28689956665031, small,#ff0000,#000000,0
IHD,Dryden Regional,-92.7497024536132,49.83499908447261, small,#ff0000,#000000,0
IHR,Chevery,-59.6258010864257,50.4747009277343, small,#ff0000,#000000,0
IHZ,Halifax,-63.51309967041011,44.89279937744141, small,#ff0000,#000000,0
IIF,St-Augustin,-58.6547012329101,51.19940185546871, small,#ff0000,#000000,0
IJS,Toronto,-79.6185989379882,43.66310119628902, small,#ff0000,#000000,0
IKZ,Buttonville,-79.363296508789,43.8558006286621, small,#ff0000,#000000,0
IMK,Vancouver,-123.199996948242,49.1967010498046, small,#ff0000,#000000,0
INV,Toronto,-79.59940338134759,43.67559814453118, small,#ff0000,#000000,0
IOA,Montreal Dorval Intl,-73.7375030517578,45.45920181274408, small,#ff0000,#000000,0
IOG,Ogur,-22.6825008392334,66.0434036254882, small,#ff0000,#000000,0
IOO,Oshawa,-78.8858032226562,43.9185981750488, small,#ff0000,#000000,0
IOW,Ottawa,-75.66680145263669,45.31380081176751, small,#ff0000,#000000,0
IPR,Prince Rupert,-130.45100402832,54.29059982299798, small,#ff0000,#000000,0
IQH,Watson Lake,-128.828994750976,60.11920166015618, small,#ff0000,#000000,0
IQX,Gander,-54.56029891967771,48.95059967041011, small,#ff0000,#000000,0
IRD,Vancouver,-123.164001464843,49.2019996643066, small,#ff0000,#000000,0
IRJ,Roberval,-72.2742004394531,48.5269012451171, small,#ff0000,#000000,0
ISV,Stornoway,-6.32604980468749,58.21440124511709, small,#ff0000,#000000,0
ISY,Islay,-6.249410152435306,55.68299865722651, small,#ff0000,#000000,0
ITF,Alma,-71.6322021484375,48.50500106811522, small,#ff0000,#000000,0
ITO,Toronto,-79.6343994140625,43.6702995300293, small,#ff0000,#000000,0
ITZ,City Centre,-79.3993988037109,43.62720108032219, small,#ff0000,#000000,0
IUL,Montreal,-73.76329803466788,45.46419906616212, small,#ff0000,#000000,0
