title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
2J,Grand Forks,-118.424003601074,49.01750183105461,50,#ff0000,#000000,0
2S,High Prairie,-116.484001159667,55.39559936523428,50,#ff0000,#000000,0
2U,Mackenzie Bc,-123.137001037597,55.30360031127928,50,#ff0000,#000000,0
3M,Drayton Valley Industrial,-114.955001831054,53.26639938354491,50,#ff0000,#000000,0
3Y,Donnelly,-117.099998474121,55.71060180664058,50,#ff0000,#000000,0
3Z,Taber,-112.178001403808,49.82580184936522,50,#ff0000,#000000,0
4A,Koala,-110.609001159667,64.69809722900392,50,#ff0000,#000000,0
5F,Fox Creek,-116.76000213623,54.3793983459472,50,#ff0000,#000000,0
5U,Fort Vermilion,-115.950996398925,58.40250015258781,50,#ff0000,#000000,0
5V,Drumheller,-112.750999450683,51.50249862670891,50,#ff0000,#000000,0
8C,Fairview,-118.441001892089,56.0755996704101,50,#ff0000,#000000,0
8G,Stettler,-112.753997802734,52.30830001831051,50,#ff0000,#000000,0
8M,Elk Point,-110.767997741699,53.89030075073241,50,#ff0000,#000000,0
8N,Edson,-116.455001831054,53.5807991027832,50,#ff0000,#000000,0
9X,Brooks,-111.921997070312,50.6321983337402,50,#ff0000,#000000,0
9Z,Westlock,-113.748001098632,54.14310073852531,50,#ff0000,#000000,0
ABA,Albany,117.810997009277,-34.95220184326168,50,#ff0000,#000000,0
ADK,Mount Moffett,-176.675994873046,51.871898651123,50,#ff0000,#000000,0
AFE,Kake,-133.912002563476,56.96390151977531,50,#ff0000,#000000,0
AHT,Amchitka,-179.257995605468,51.37969970703118,50,#ff0000,#000000,0
AIX,Nanwak,-166.21499633789,60.38499832153319,50,#ff0000,#000000,0
AKW,Klawock,-133.078994750976,55.56859970092773,50,#ff0000,#000000,0
AMF,Ambler,-157.858001708984,67.1067962646484,50,#ff0000,#000000,0
ANK,Ankara,32.82809829711908,39.95309829711908,50,#ff0000,#000000,0
ANV,Anvik,-160.190002441406,62.6413993835449,50,#ff0000,#000000,0
AP,Taupo,176.074005126953,-38.74319839477531,50,#ff0000,#000000,0
ARM,Armidale,151.615005493164,-30.52779960632318,50,#ff0000,#000000,0
AT,Agatti,72.17990112304682,10.83160018920891,50,#ff0000,#000000,0
AYE,Ayers Rock,130.975006103515,-25.17280006408692,50,#ff0000,#000000,0
BM,Blenheim,174.031997680664,-41.50519943237298,50,#ff0000,#000000,0
BRM,Broome,122.235000610351,-17.9463996887207,50,#ff0000,#000000,0
BS,Kinmen,118.348999023437,24.42650032043451,50,#ff0000,#000000,0
BUK,Buka,154.667007446289,-5.443019866943358,50,#ff0000,#000000,0
BVK,Buckland,-161.149002075195,65.9797973632812,50,#ff0000,#000000,0
CAY,Caycuma,32.04166699999999,41.514833,50,#ff0000,#000000,0
CBN,Cumbernauld,-3.9747200012207,55.97560119628899,50,#ff0000,#000000,0
CEU,Ceuta,-5.305439949035645,35.89260101318351,50,#ff0000,#000000,0
COM,Cooma,148.95799255371,-36.3538017272949,50,#ff0000,#000000,0
D6,Fairmont Hot Springs,-115.876998901367,50.32690048217771,50,#ff0000,#000000,0
DAU,Daru,143.212997436523,-9.075019836425781,50,#ff0000,#000000,0
DGG,Red Dog,-162.904006958007,68.0324020385742,50,#ff0000,#000000,0
DIW,Dixon,-77.45300292968751,34.56850051879881,50,#ff0000,#000000,0
DUT,Dutch Harbor,-166.548995971679,53.9052009582519,50,#ff0000,#000000,0
E3,Wabasca,-113.823997497558,55.96360015869142,50,#ff0000,#000000,0
EHM,Cape Newenham,-162.07600402832,58.65589904785149,50,#ff0000,#000000,0
FIN,Finschhafen,147.858001708984,-6.614980220794678,50,#ff0000,#000000,0
FU,Funafuti,179.203002929687,-8.52299976348877,50,#ff0000,#000000,0
GAM,Gambell,-171.736999511718,63.7820014953613,50,#ff0000,#000000,0
GBE,Gobe,143.6790008544919,-6.890319824218743,50,#ff0000,#000000,0
GFC,Gullfaks,2.273610115051263,61.21500015258781,50,#ff0000,#000000,0
GMN,Gormanston,-6.226669788360595,53.64810180664058,50,#ff0000,#000000,0
GTE,Groote Eylandt,136.455993652343,-13.9750003814697,50,#ff0000,#000000,0
GUA,Girua,148.2539978027341,-8.73610973358154,50,#ff0000,#000000,0
HAY,Haymana,32.50970077514641,39.43750000000001,50,#ff0000,#000000,0
HBT,Borland,-160.518005371093,55.31560134887688,50,#ff0000,#000000,0
HEI,Heidrun,7.315830230712899,65.32559967041011,50,#ff0000,#000000,0
HIG,San Sebastian,-1.795889973640432,43.38629913330071,50,#ff0000,#000000,0
HK,Hokitika,170.955993652343,-42.72930145263668,50,#ff0000,#000000,0
HKN,Hoskins,150.414001464843,-5.459030151367195,50,#ff0000,#000000,0
HL,Henley,170.162002563476,-45.94589996337891,50,#ff0000,#000000,0
HLE,Hailey,-114.24299621582,43.32910156250001,50,#ff0000,#000000,0
HSA,Hesa,51.56010055541988,32.93259811401364,50,#ff0000,#000000,0
ILI,Iliamna,-154.910003662109,59.74789810180657,50,#ff0000,#000000,0
J7,One Hunderd Eight Mile,-121.336997985839,51.74330139160148,50,#ff0000,#000000,0
JK,Longli,106.980003356933,26.45829963684081,50,#ff0000,#000000,0
KHM,Dayrestan,55.90769958496091,26.76309967041011,50,#ff0000,#000000,0
KIU,Kiunga,141.287002563476,-6.121600151062019,50,#ff0000,#000000,0
KK,Kerikeri,173.910995483398,-35.2620010375976,50,#ff0000,#000000,0
KKA,Koyuk,-161.147994995117,64.9319992065429,50,#ff0000,#000000,0
KRM,Kerema,145.774993896484,-7.96261978149415,50,#ff0000,#000000,0
KT,Kaitaia,173.242004394531,-35.02859878540031,50,#ff0000,#000000,0
LCE,La Ceiba,-86.8905029296875,15.73820018768309,50,#ff0000,#000000,0
LHI,Lord Howe Island,159.0659942626949,-31.52120018005372,50,#ff0000,#000000,0
LSH,Lashenden,0.6480559706687883,51.15470123291009,50,#ff0000,#000000,0
LUR,Cape Lisburne,-166.07600402832,68.8711013793945,50,#ff0000,#000000,0
LX,Alexandra,169.479995727539,-45.16550064086908,50,#ff0000,#000000,0
M5,Manning,-117.62799835205,56.94860076904293,50,#ff0000,#000000,0
MAJ,Majuro,171.281997680664,7.068830013275131,50,#ff0000,#000000,0
MER,Merimbula,149.899002075195,-36.91429901123042,50,#ff0000,#000000,0
MH,Mount Hagen,144.309005737304,-5.8378701210022,50,#ff0000,#000000,0
MO,Manapouri,167.718002319335,-45.49689865112299,50,#ff0000,#000000,0
MOE,Momote,147.425994873046,-2.061419963836679,50,#ff0000,#000000,0
MOR,Moro,143.253997802734,-6.362870216369636,50,#ff0000,#000000,0
NSR,Noshahr,51.5046997070312,36.65330123901361,50,#ff0000,#000000,0
NU,Niue,-169.917007446289,-19.0736007690429,50,#ff0000,#000000,0
OBI,Oberpfaffenhofen,11.285400390625,48.08060073852532,50,#ff0000,#000000,0
OKT,Ok Tedi,141.31900024414,-5.409900188446048,50,#ff0000,#000000,0
OLT,Soldotna,-150.878997802734,60.47499847412099,50,#ff0000,#000000,0
OOM,Moomba,140.199005126953,-28.1044006347656,50,#ff0000,#000000,0
OQK,Noatak,-162.973999023437,67.5718994140625,50,#ff0000,#000000,0
OYN,Gold,-165.432998657226,64.51280212402337,50,#ff0000,#000000,0
P2,Wetaskiwin,-113.412002563476,52.96689987182612,50,#ff0000,#000000,0
