title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
1A,Williams Harbour,-55.78219985961911,52.55889892578121,50,#ff0000,#000000,0
1B,Sable Island,-60.0228996276855,43.93059921264641,50,#ff0000,#000000,0
1D,Charlottetown,-56.12400054931641,52.77500152587892,50,#ff0000,#000000,0
1E,Black Tickle,-55.7873992919921,53.4667015075683,50,#ff0000,#000000,0
1F,Manta,-65.7446975708007,47.63059997558589,50,#ff0000,#000000,0
1K,Zama Lake,-118.843002319335,59.02330017089839,50,#ff0000,#000000,0
1S,North Of Sixty,-103.128997802734,60.31890106201168,50,#ff0000,#000000,0
1U,Masset,-132.126998901367,54.03170013427729,50,#ff0000,#000000,0
1W,Sandy Bay,-102.276000976562,55.54330062866213,50,#ff0000,#000000,0
2A,South Indian Lake,-98.904296875,56.79389953613282,50,#ff0000,#000000,0
2B,Springdale,-56.18470001220701,49.4900016784668,50,#ff0000,#000000,0
2H,Lebel-sur-Quevillon,-77.02079772949999,49.03720092769998,50,#ff0000,#000000,0
2K,Camrose,-112.813003540039,53.03219985961908,50,#ff0000,#000000,0
2M,Opapimiskan Lake,-90.374397277832,52.603099822998,50,#ff0000,#000000,0
2Q,Mont-Laurier,-75.4705963134765,46.60250091552728,50,#ff0000,#000000,0
2T,Pokemouche,-64.88580322265621,47.71500015258782,50,#ff0000,#000000,0
2Z,Diavik,-110.306999206542,64.51000213623043,50,#ff0000,#000000,0
3D,Cumberland House,-102.296997070312,53.95719909667959,50,#ff0000,#000000,0
3F,Ile-A-La-Crosse,-107.930999755859,55.48389816284179,50,#ff0000,#000000,0
3H,Consort,-110.746002197265,52.0228004455566,50,#ff0000,#000000,0
3I,Mobil Sierra,-121.345001220703,58.79830169677731,50,#ff0000,#000000,0
3N,Weyburn,-103.804000854492,49.69639968872071,50,#ff0000,#000000,0
3P,Muddy Lake,-132.195999145507,58.23690032958978,50,#ff0000,#000000,0
3R,Postville,-59.79690170288081,54.9075012207031,50,#ff0000,#000000,0
3X,Cluff Lake,-109.525001525878,58.36029815673821,50,#ff0000,#000000,0
3Z,Russell,-101.295997619628,50.76419830322259,50,#ff0000,#000000,0
4B,Little Grand Rapids,-95.46189880371091,52.0442008972168,50,#ff0000,#000000,0
4D,Helmet,-120.789001464843,59.42139816284181,50,#ff0000,#000000,0
4G,Cross Lake,-97.76640319824212,54.61080169677729,50,#ff0000,#000000,0
4H,Points North Landing,-104.080001831054,58.2691993713378,50,#ff0000,#000000,0
4J,Knee Lake,-94.8000030517578,54.88330078124999,50,#ff0000,#000000,0
4K,St Theresa Point,-94.8494033813476,53.84500122070309,50,#ff0000,#000000,0
4L,Chatham,-82.0776977539062,42.31230163574212,50,#ff0000,#000000,0
4M,Red Sucker Lake,-93.5632019042968,54.16889953613281,50,#ff0000,#000000,0
4N,Oxford House,-95.2825012207031,54.9286003112793,50,#ff0000,#000000,0
4O,Swan Hills,-115.424003601074,54.67499923706048,50,#ff0000,#000000,0
4Q,Brochet,-101.677001953125,57.88610076904292,50,#ff0000,#000000,0
