title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
AE,Abeche,20.84499931335441,13.84510040283202,50,#ff0000,#000000,0
AGZ,Ayaguz,80.44969940185541,47.93109893798818,50,#ff0000,#000000,0
ALD,Allendale,-81.2921981811523,33.0125007629394,50,#ff0000,#000000,0
ALI,Alice,-98.0213012695312,27.7397994995117,50,#ff0000,#000000,0
ALM,Alma,13.55749988555899,55.41130065917961,50,#ff0000,#000000,0
ALS,Alsie,9.993379592895515,54.90539932250972,50,#ff0000,#000000,0
ANG,Angers,-0.8518329858779938,47.53689956665032,50,#ff0000,#000000,0
AOH,Allen Co,-83.9682006835937,40.70709991455069,50,#ff0000,#000000,0
AOO,Altoona,-78.3037033081054,40.3254013061523,50,#ff0000,#000000,0
ARE,Monts D Arree,-3.602469921112059,48.33259963989251,50,#ff0000,#000000,0
ARS,Ardrossan,137.893347,-34.41652800000001,50,#ff0000,#000000,0
AS,Agades,8.02322006225586,16.97500038146971,50,#ff0000,#000000,0
ATM,Altamira,-52.2476997375488,-3.249330043792718,50,#ff0000,#000000,0
AVN,Avignon,4.74638986587526,43.99539947509761,50,#ff0000,#000000,0
BAN,Sidi Ben Aoun,9.167779922485337,34.8633003234863,50,#ff0000,#000000,0
BAY,El Bayadh,0.9502779841422937,33.70529937744142,50,#ff0000,#000000,0
BAY,Bayreuth,11.63669967651362,49.98519897460928,50,#ff0000,#000000,0
BC,Bacolod,122.925003051757,10.63759994506828,50,#ff0000,#000000,0
BDU,Bondoukou/Soko,-2.754610061645517,8.036499977111799,50,#ff0000,#000000,0
BDV,Burgersdorp,26.3227005004882,-30.9650001525878,50,#ff0000,#000000,0
BES,Tumbes,-80.38919830322261,-3.544440031051632,50,#ff0000,#000000,0
BGD,Baghdad,44.2491989135742,33.26070022582999,50,#ff0000,#000000,0
BGE,Bage,-54.1097984313964,-31.3906993865966,50,#ff0000,#000000,0
BI,Bindo,71.03109741210933,29.68000030517568,50,#ff0000,#000000,0
BIB,Biboohra,145.412002563476,-16.91670036315909,50,#ff0000,#000000,0
BIE,Beatrice,-96.75460052490229,40.301399230957,50,#ff0000,#000000,0
BIU,Ballidu,116.779998779296,-30.5939998626709,50,#ff0000,#000000,0
BJB,West Bend,-88.12519836425781,43.42200088500972,50,#ff0000,#000000,0
BNE,Boulogne-sur-Mer,1.907109975814838,50.6248016357421,50,#ff0000,#000000,0
BOR,Bordertown,140.742004394531,-36.39279937744141,50,#ff0000,#000000,0
BOR,San Borja,-66.73650360107422,-14.8521003723144,50,#ff0000,#000000,0
BRR,Barreiras,-45.0071983337402,-12.07999992370599,50,#ff0000,#000000,0
BSA,Beer-Sheba,34.7212982177734,31.28619956970209,50,#ff0000,#000000,0
BT,Berberati,15.783800125122,4.22936010360718,50,#ff0000,#000000,0
BTE,Chimbote,-78.5218963623046,-9.14750003814698,50,#ff0000,#000000,0
BUD,Buckeye,-83.0637969970703,40.61660003662101,50,#ff0000,#000000,0
BUN,Bunia,30.2166004180908,1.563879966735846,50,#ff0000,#000000,0
BVS,Beauvais,2.153189897537251,49.43640136718749,50,#ff0000,#000000,0
CAN,Caen,-0.4556669890880638,49.17169952392569,50,#ff0000,#000000,0
