title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
AA,Auckland,174.813995361328,-37.00460052490228,50,#ff0000,#000000,0
AAE,Ahmedabad,72.625,23.07220077514642,50,#ff0000,#000000,0
AAL,Aalborg,9.99557971954346,57.10369873046868,50,#ff0000,#000000,0
AAR,Amritsar,74.80079650878899,31.7068996429443,50,#ff0000,#000000,0
AAT,Agartala,91.23970031738281,23.88960075378411,50,#ff0000,#000000,0
AAU,Aurangabad,75.39409637451173,19.8647003173828,50,#ff0000,#000000,0
ABA,Aruba,-69.94069671630861,12.50979995727532,50,#ff0000,#000000,0
ABB,Abbeville,1.854689955711359,50.13510131835929,50,#ff0000,#000000,0
ABC,Abuja,7.285099983215351,9.037799835205078,50,#ff0000,#000000,0
ABD,Abadan,48.21760177612298,30.386999130249,50,#ff0000,#000000,0
ABK,Abakan,91.3850021362304,53.7449989318847,50,#ff0000,#000000,0
ABR,Aberdeen,-98.3686981201171,45.4174003601074,50,#ff0000,#000000,0
ABU,Abu Argub,13.16940021514888,32.46279907226559,50,#ff0000,#000000,0
ABV,Alexander Bay,16.53389930725091,-28.5706996917724,50,#ff0000,#000000,0
ACA,Acapulco,-99.7539978027343,16.7584991455078,50,#ff0000,#000000,0
ACC,Accra,-0.1553439944982626,5.63410997390748,50,#ff0000,#000000,0
ACJ,Aracaju,-37.0713996887207,-10.9840002059936,50,#ff0000,#000000,0
ACK,Nantucket,-70.0267028808593,41.2817993164062,50,#ff0000,#000000,0
ACO,Akron,-81.2014999389648,41.10789871215821,50,#ff0000,#000000,0
ACV,Arcata,-124.108001708984,40.98139953613283,50,#ff0000,#000000,0
AD,Adelaide,138.524002075195,-34.94689941406251,50,#ff0000,#000000,0
AD,Abidjan,-3.917000055313116,5.282810211181657,50,#ff0000,#000000,0
ADA,Aldeia,-42.09529876708978,-22.8127994537353,50,#ff0000,#000000,0
ADA,Adana,35.21030044555657,36.94060134887689,50,#ff0000,#000000,0
ADH,Ada,-96.67009735107422,34.8026008605957,50,#ff0000,#000000,0
ADL,Sochi,39.9482994079589,43.40330123901362,50,#ff0000,#000000,0
ADM,Agadir,-9.38333034515381,30.32189941406251,50,#ff0000,#000000,0
ADN,Roberto,-100.238998413085,25.86540031433099,50,#ff0000,#000000,0
ADN,Aberdeen,-2.267220020294187,57.31060028076169,50,#ff0000,#000000,0
ADR,Adrar,-0.2058670073747582,27.81699943542479,50,#ff0000,#000000,0
