title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
AAR,Arar,41.14220046997069,30.90800094604489,50,#ff0000,#000000,0
ABB,Nabb,-85.636001586914,38.5887985229492,50,#ff0000,#000000,0
ABH,Abha,42.65689849853509,18.2418994903564,50,#ff0000,#000000,0
ABI,Abilene,-99.8635025024414,32.48130035400391,50,#ff0000,#000000,0
ABQ,Albuquerque,-106.816001892089,35.04380035400391,50,#ff0000,#000000,0
ACH,Anton Chico,-105.040000915527,35.11169815063471,50,#ff0000,#000000,0
ACT,Waco,-97.2689971923828,31.66230010986319,50,#ff0000,#000000,0
ACY,Atlantic City,-74.576301574707,39.4558982849121,50,#ff0000,#000000,0
ADM,Ardmore,-97.1682968139648,34.21160125732419,50,#ff0000,#000000,0
ADW,Andrews,-76.8662033081054,38.80720138549799,50,#ff0000,#000000,0
AEX,Alexandria,-92.50099945068361,31.25670051574702,50,#ff0000,#000000,0
AGJ,Gooch Springs,-98.14100000000002,31.18499999999998,50,#ff0000,#000000,0
AHN,Athens,-83.3247985839843,33.94760131835928,50,#ff0000,#000000,0
AJF,Al Jouf,40.07419967651363,29.78899955749508,50,#ff0000,#000000,0
AKJ,Al Kharj,47.407600402832,24.0681991577148,50,#ff0000,#000000,0
AKN,King Salmon,-156.751998901367,58.72470092773428,50,#ff0000,#000000,0
ALB,Albany,-73.80319976806642,42.74720001220699,50,#ff0000,#000000,0
ALC,Amami,129.583999633789,28.44370079040519,50,#ff0000,#000000,0
ALD,Al Udeid,51.30509948730462,25.13949966430659,50,#ff0000,#000000,0
ALG,Alghero,8.243889808654803,40.6281013488769,50,#ff0000,#000000,0
ALO,Waterloo,-92.39890289306639,42.55649948120109,50,#ff0000,#000000,0
ALS,Alamosa,-105.816001892089,37.34920120239251,50,#ff0000,#000000,0
AMG,Alma,-82.5081024169921,31.5365009307861,50,#ff0000,#000000,0
AML,Armel,-77.4666976928711,38.93460083007808,50,#ff0000,#000000,0
ANX,Napoleon,-94.1287994384765,39.09540176391602,50,#ff0000,#000000,0
ANY,Anthony,-98.1707000732421,37.15890121459961,50,#ff0000,#000000,0
APE,Appleton,-82.5883026123046,40.15110015869139,50,#ff0000,#000000,0
APN,Alpena,-83.5569992065429,45.08280181884761,50,#ff0000,#000000,0
ARG,Walnut Ridge,-90.95369720458979,36.11000061035152,50,#ff0000,#000000,0
ART,Watertown,-76.0645980834961,43.95199966430658,50,#ff0000,#000000,0
ASB,Ali Al Salem,47.51890182495111,29.34399986267088,50,#ff0000,#000000,0
ASI,Ascension Aux Af,-14.3972997665405,-7.969880104064934,50,#ff0000,#000000,0
ATL,Atlanta,-84.4350967407226,33.6291007995605,50,#ff0000,#000000,0
ATY,Watertown,-97.1417007446289,44.97969818115227,50,#ff0000,#000000,0
AUW,Wausau,-89.58660125732422,44.84680175781249,50,#ff0000,#000000,0
AVE,Avenal,-119.978996276855,35.6469993591308,50,#ff0000,#000000,0
AWK,Wake Island,166.628005981445,19.2849998474121,50,#ff0000,#000000,0
AXC,Decatur,-88.8564314,39.73752139999999,50,#ff0000,#000000,0
AYS,Waycross,-82.556396484375,31.26939964294431,50,#ff0000,#000000,0
BAE,Badger,-88.2843017578125,43.11690139770501,50,#ff0000,#000000,0
BAF,Barnes,-72.7162017822265,42.1619987487793,50,#ff0000,#000000,0
BAL,Baltimore,-76.6613006591796,39.17110061645499,50,#ff0000,#000000,0
BAL,El Libertador,-67.5469970703125,10.1861000061035,50,#ff0000,#000000,0
BAM,Barmen,7.176980018615708,51.32780075073241,50,#ff0000,#000000,0
BAM,Battle Mountain,-116.921997070312,40.56919860839839,50,#ff0000,#000000,0
BCE,Bryce Canyon,-112.304000854492,37.6892013549804,50,#ff0000,#000000,0
BDF,Bradford,-89.5878982543945,41.15969848632811,50,#ff0000,#000000,0
BDL,Bradley,-72.6885986328125,41.94100189208979,50,#ff0000,#000000,0
BEJ,Beja,-7.926690101623532,38.1283988952636,50,#ff0000,#000000,0
BET,Bethel,-161.824005126953,60.78480148315429,50,#ff0000,#000000,0
BFF,Scottsbluff,-103.4820022583,41.89419937133779,50,#ff0000,#000000,0
BFM,Brookley,-88.0554962158203,30.6126995086669,50,#ff0000,#000000,0
BFV,Burns Flat,-99.2061996459961,35.23690032958979,50,#ff0000,#000000,0
BGD,Borger,-101.382003784179,35.80709838867178,50,#ff0000,#000000,0
BGQ,Big Lake,-149.966995239257,61.56949996948241,50,#ff0000,#000000,0
BGR,Bangor,-68.8740005493164,44.84180068969722,50,#ff0000,#000000,0
BGS,Big Spring,-101.484001159667,32.3856010437011,50,#ff0000,#000000,0
BHA,Al Baha,41.62910079956048,20.2924995422363,50,#ff0000,#000000,0
BIB,Bible Grove,-88.4817962646484,38.92029953002932,50,#ff0000,#000000,0
BIG,Big Delta,-145.716995239257,64.0044021606445,50,#ff0000,#000000,0
BIL,Billings,-108.625,45.8086013793945,50,#ff0000,#000000,0
BJI,Bemidji,-95.0248031616211,47.5759010314941,50,#ff0000,#000000,0
BKA,Biorka Island,-135.550994873046,56.85940170288079,50,#ff0000,#000000,0
BKW,Beckley,-81.12349700927729,37.78030014038081,50,#ff0000,#000000,0
BLD,Balad,44.36809921264639,33.93590164184572,50,#ff0000,#000000,0
BLD,Boulder City,-114.863998413085,35.99580001831048,50,#ff0000,#000000,0
BLF,Bluefield,-81.1942977905273,37.3064002990722,50,#ff0000,#000000,0
BLH,Blythe,-114.761001586914,33.5960998535156,50,#ff0000,#000000,0
BLV,Bloemfontein,26.30069923400869,-29.1005001068115,50,#ff0000,#000000,0
BNA,Nashville,-86.6847991943359,36.13700103759762,50,#ff0000,#000000,0
BNA,Barcelona,-64.7055969238281,10.13309955596922,50,#ff0000,#000000,0
BOI,Boise,-116.192001342773,43.55279922485352,50,#ff0000,#000000,0
BOL,Bolsena,12.0486001968383,42.6183013916015,50,#ff0000,#000000,0
BOS,Boston,-70.989501953125,42.35739898681642,50,#ff0000,#000000,0
BQN,Borinquen,-67.1083984375,18.49799919128411,50,#ff0000,#000000,0
BRD,Brindisi,18.00289916992179,40.61090087890621,50,#ff0000,#000000,0
BRD,Brainerd,-94.0260009765625,46.34830093383781,50,#ff0000,#000000,0
BRK,Black Forest,-104.633003234863,38.94449996948239,50,#ff0000,#000000,0
BRL,Burlington,-90.9259033203125,40.7234001159668,50,#ff0000,#000000,0
BRO,Brownsville,-97.3752975463867,25.9241008758544,50,#ff0000,#000000,0
BRV,Brooke,-77.35289764404288,38.33629989624019,50,#ff0000,#000000,0
BSH,Bisha,42.62459945678711,19.9776992797851,50,#ff0000,#000000,0
BSR,Big Sur,-121.641998291015,36.18130111694332,50,#ff0000,#000000,0
BTG,Battle Ground,-122.592002868652,45.74779891967771,50,#ff0000,#000000,0
BTL,Battle Creek,-85.25229644775392,42.30979919433591,50,#ff0000,#000000,0
BTR,Baton Rouge,-91.2940979003906,30.48509979248039,50,#ff0000,#000000,0
BTV,Burlington,-73.1826019287109,44.39709854125972,50,#ff0000,#000000,0
BTY,Beatty,-116.748001098632,36.80059814453118,50,#ff0000,#000000,0
BUM,Butler,-94.4881973266601,38.27209854125972,50,#ff0000,#000000,0
BVL,Bonneville,-113.757003784179,40.72610092163079,50,#ff0000,#000000,0
BVT,Boiler,-87.0692977905273,40.55609893798818,50,#ff0000,#000000,0
BWG,Bowling Green,-86.4433975219726,36.92869949340819,50,#ff0000,#000000,0
BXK,Buckeye,-112.824996948242,33.45349884033202,50,#ff0000,#000000,0
